TradingSymbol,StartDate,EndDate,NetIncomeLoss,NetIncomeLoss_Decimals,EarningsPerShareBasic,EarningsPerShareBasic_Decimals,EarningsPerShareDiluted,EarningsPerShareDiluted_Decimals
AAPL,2023-01-01,2023-04-01,24160000000.0,-6,1.53,2,1.52,2
AAPL,2021-12-26,2022-03-26,25010000000.0,-6,1.54,2,1.52,2
AAPL,2022-09-25,2023-04-01,54158000000.0,-6,3.42,2,3.41,2
AAPL,2021-09-26,2022-03-26,59640000000.0,-6,3.65,2,3.62,2
TradingSymbol,StartDate,EndDate,NetIncomeLoss,NetIncomeLoss_Decimals,EarningsPerShareBasic,EarningsPerShareBasic_Decimals,EarningsPerShareDiluted,EarningsPerShareDiluted_Decimals
AAPL,2023-01-01,2023-04-01,24160000000.0,-6,1.53,2,1.52,2
AAPL,2021-12-26,2022-03-26,25010000000.0,-6,1.54,2,1.52,2
AAPL,2022-09-25,2023-04-01,54158000000.0,-6,3.42,2,3.41,2
AAPL,2021-09-26,2022-03-26,59640000000.0,-6,3.65,2,3.62,2
TradingSymbol,StartDate,EndDate,NetIncomeLoss,NetIncomeLoss_Decimals,EarningsPerShareBasic,EarningsPerShareBasic_Decimals,EarningsPerShareDiluted,EarningsPerShareDiluted_Decimals
AAPL,2023-01-01,2023-04-01,24160000000.0,-6,1.53,2,1.52,2
AAPL,2021-12-26,2022-03-26,25010000000.0,-6,1.54,2,1.52,2
AAPL,2022-09-25,2023-04-01,54158000000.0,-6,3.42,2,3.41,2
AAPL,2021-09-26,2022-03-26,59640000000.0,-6,3.65,2,3.62,2
TradingSymbol,StartDate,EndDate,NetIncomeLoss,NetIncomeLoss_Decimals,EarningsPerShareBasic,EarningsPerShareBasic_Decimals,EarningsPerShareDiluted,EarningsPerShareDiluted_Decimals
AAPL,2023-01-01,2023-04-01,24160000000.0,-6,1.53,2,1.52,2
AAPL,2021-12-26,2022-03-26,25010000000.0,-6,1.54,2,1.52,2
AAPL,2022-09-25,2023-04-01,54158000000.0,-6,3.42,2,3.41,2
AAPL,2021-09-26,2022-03-26,59640000000.0,-6,3.65,2,3.62,2
TradingSymbol,StartDate,EndDate,NetIncomeLoss,NetIncomeLoss_Decimals,EarningsPerShareBasic,EarningsPerShareBasic_Decimals,EarningsPerShareDiluted,EarningsPerShareDiluted_Decimals
AAPL,2023-01-01,2023-04-01,24160000000.0,-6,1.53,2,1.52,2
AAPL,2021-12-26,2022-03-26,25010000000.0,-6,1.54,2,1.52,2
AAPL,2022-09-25,2023-04-01,54158000000.0,-6,3.42,2,3.41,2
AAPL,2021-09-26,2022-03-26,59640000000.0,-6,3.65,2,3.62,2
