TradingSymbol,StartDate,EndDate,NetIncomeLoss,NetIncomeLoss_Decimals,EarningsPerShareBasic,EarningsPerShareBasic_Decimals,EarningsPerShareDiluted,EarningsPerShareDiluted_Decimals
AAPL,2021-03-28,2021-06-26,21744000000.0,-6,1.31,2,1.3,2
AAPL,2020-03-29,2020-06-27,11253000000.0,-6,0.65,2,0.65,2
AAPL,2020-09-27,2021-06-26,74129000000.0,-6,4.42,2,4.38,2
AAPL,2019-09-29,2020-06-27,44738000000.0,-6,2.56,2,2.54,2
TradingSymbol,StartDate,EndDate,NetIncomeLoss,NetIncomeLoss_Decimals,EarningsPerShareBasic,EarningsPerShareBasic_Decimals,EarningsPerShareDiluted,EarningsPerShareDiluted_Decimals
AAPL,2021-03-28,2021-06-26,21744000000.0,-6,1.31,2,1.3,2
AAPL,2020-03-29,2020-06-27,11253000000.0,-6,0.65,2,0.65,2
AAPL,2020-09-27,2021-06-26,74129000000.0,-6,4.42,2,4.38,2
AAPL,2019-09-29,2020-06-27,44738000000.0,-6,2.56,2,2.54,2
