TradingSymbol,StartDate,EndDate,NetIncomeLoss,NetIncomeLoss_Decimals,EarningsPerShareBasic,EarningsPerShareBasic_Decimals,EarningsPerShareDiluted,EarningsPerShareDiluted_Decimals
AAPL,2021-12-26,2022-03-26,25010000000.0,-6,1.54,2,1.52,2
AAPL,2020-12-27,2021-03-27,23630000000.0,-6,1.41,2,1.4,2
AAPL,2021-09-26,2022-03-26,59640000000.0,-6,3.65,2,3.62,2
AAPL,2020-09-27,2021-03-27,52385000000.0,-6,3.11,2,3.08,2
TradingSymbol,StartDate,EndDate,NetIncomeLoss,NetIncomeLoss_Decimals,EarningsPerShareBasic,EarningsPerShareBasic_Decimals,EarningsPerShareDiluted,EarningsPerShareDiluted_Decimals
AAPL,2021-12-26,2022-03-26,25010000000.0,-6,1.54,2,1.52,2
AAPL,2020-12-27,2021-03-27,23630000000.0,-6,1.41,2,1.4,2
AAPL,2021-09-26,2022-03-26,59640000000.0,-6,3.65,2,3.62,2
AAPL,2020-09-27,2021-03-27,52385000000.0,-6,3.11,2,3.08,2
