TradingSymbol,StartDate,EndDate,NetIncomeLoss,NetIncomeLoss_Decimals,EarningsPerShareBasic,EarningsPerShareBasic_Decimals,EarningsPerShareDiluted,EarningsPerShareDiluted_Decimals
AAPL,2020-12-27,2021-03-27,23630000000.0,-6,1.41,2,1.4,2
AAPL,2019-12-29,2020-03-28,11249000000.0,-6,0.64,2,0.64,2
AAPL,2020-09-27,2021-03-27,52385000000.0,-6,3.11,2,3.08,2
AAPL,2019-09-29,2020-03-28,33485000000.0,-6,1.91,2,1.89,2
TradingSymbol,StartDate,EndDate,NetIncomeLoss,NetIncomeLoss_Decimals,EarningsPerShareBasic,EarningsPerShareBasic_Decimals,EarningsPerShareDiluted,EarningsPerShareDiluted_Decimals
AAPL,2020-12-27,2021-03-27,23630000000.0,-6,1.41,2,1.4,2
AAPL,2019-12-29,2020-03-28,11249000000.0,-6,0.64,2,0.64,2
AAPL,2020-09-27,2021-03-27,52385000000.0,-6,3.11,2,3.08,2
AAPL,2019-09-29,2020-03-28,33485000000.0,-6,1.91,2,1.89,2
